word,freq,english_word
程度,10,extent
第一课,10,Lesson 1
红楼梦,10,Dream
自主,10,autonomic
著作权法,10,Copyright Law
计划,10,plan
计算,10,compute
识别,10,identify
过去,10,past
进入,10,enter
阶段,10,stage
非常,10,Very
风格,10,style
首次,10,first
CEO,9,CEO
NPC,9,NPC
一种,9,A
举行,9,Held
争议,9,controversy
产业链,9,Industrial chain
人民网,9,People's Daily Online
从业者,9,Practitioners
企业家,9,entrepreneur
优化,9,optimize
作词,9,lyricist
其实,9,In fact
最大,9,utmost
加强,9,strengthen
升级,9,upgrade
协同,9,synergism
各地,9,Around
各类,9,Various
吸引,9,attract
图像,9,image
培育,9,cultivate
基础设施,9,infrastructure
增强,9,intensifier
大学,9,university
安全,9,safe
导致,9,result in
尝试,9,try
巨大,9,huge
应该,9,Should
报告,9,report
教授,9,professor
文化传媒,9,Culture and Media
新一代,9,Next generation
新质,9,New quality
新闻,9,News
无法,9,unable
更加,9,more
服务提供者,9,Service Providers
期待,9,expect
机构,9,institution
机械,9,machine
流量,9,flow rate
海外,9,overseas
真人,9,Reality
知名,9,famous
科学,9,science
答案,9,answer
简单,9,Simple
经典,9,classic
网友,9,Netizens
翻唱,9,cover song
考拉,9,koala
肖像权,9,Portrait
背后,9,behind
胡晨韵,9,Hu Chenyun
范围,9,range
论坛,9,forum
轨道,9,orbit
辅助,9,auxiliary
边界,9,boundary
这种,9,This
迭代,9,iterate
选择,9,choose
造成,9,cause
陈世哲,9,Chen Shizhe
零壹,9,Zero One
APP,8,APP
ChatGPT,8,ChatGPT
一位,8,A
一系列,8,Series
一键,8,One click
上海民族乐团,8,Shanghai Chinese Orchestra
专家,8,expert
两个,8,Two
交互,8,in turn
人物,8,figure
优秀,8,outstanding
体现,8,embodiment
健康,8,healthy
免费,8,gratis
全市,8,City
公开,8,public
最高,8,highest
创造,8,create
制造,8,fabricate
历史,8,history
同意,8,agree
基金,8,funds
多年,8,Years
奶茶,8,milk tea
如今,8,now
实验,8,experiment
对话,8,dialogue
小冰,8,Xiaoice
展开,8,unfold
展览,8,exhibit
属于,8,belong
已有,8,Already has
建立,8,establish
建议,8,suggestion
当时,8,then
很大,8,It's huge
战略,8,stratagem
接受,8,accept
推荐,8,recommend
提示,8,prompt
提高,8,improve
携手,8,Hand
放大,8,magnify
无限,8,boundless
暂行办法,8,Interim Measures
更新,8,update
李笛,8,Li Di
极米,8,XGIMI
歌词,8,lyrics
民族,8,ethnic group
海上,8,maritime
涉案,8,Involved
演奏,8,play
版本,8,version
特色,8,characteristic
现代,8,nowadays
目标,8,target
相应,8,corresponding
真实,8,authentic
研究院,8,research institute
社交,8,socializing
视听,8,audiovisual
简称,8,abbreviation
给予,8,Give
舞蹈,8,dance
芯片,8,chip
融入,8,Into
角色,8,role
解决,8,settle
计算机,8,Computer
责任,8,liability
越来越,8,Getting
转化,8,invert
钢琴,8,piano
钱秀莲,8,Qian Xiulian
门槛,8,doorsill
降低,8,lower
青年,8,youth
面向,8,face
领先,8,Leading
驾驶,8,drive
高度,8,height
一款,7,a
一直,7,always
专项,7,Special
严重,7,severe
个人隐私,7,Personal Privacy
主任,7,director
之后,7,afterwards
人工,7,artificial
人格权,7,Personality rights
人生,7,life
体系,7,system
儿童,7,child
元素,7,element
全面,7,comprehensive
公益,7,commonweal
关系,7,relationship
最新,7,Latest
写诗,7,Writing poetry
几行,7,A few lines
制造业,7,manufacturing
加入,7,join
动画,7,animation
区域,7,region
医疗,7,medical
各方,7,Parties
合法权益,7,Legitimate interests
和谐,7,harmonious
商业,7,commerce
四川,7,Sichuan
国风,7,National style
基本,7,essential
复杂,7,complex
大会,7,congress
大赛,7,Contest
天琴,7,Lyra
奇妙,7,Wonderful
媒体,7,media
学院,7,academy
实时,7,real time
客户,7,client
宣判,7,sentence
宣布,7,announce
对象,7,object
平衡,7,balance
应当,7,should
开发者,7,Developers
开启,7,Open
开源,7,open source
引导,7,steer
强大,7,powerful
当下,7,Present
当前,7,current
形象,7,image
成功,7,succeed
拥抱,7,embrace
控制,7,control
支撑,7,prop up
故事,7,tale
效果,7,effect
教学,7,teaching
整个,7,whole
文创,7,Cultural creativity
文艺作品,7,Literary and artistic works
旗下,7,Its
日前,7,Recently
朋友,7,Friend
机制,7,mechanism
来看,7,Come and see
案件,7,case
检测,7,detect
模态,7,modality
每年,7,annually
永久,7,perpetual
法律法规,7,Laws and Regulations
流畅,7,fluency
浙江省,7,Zhejiang Province
海量,7,magnanimity
消费,7,consume
满足,7,satisfy
激发,7,excite
特别,7,particularly
环境,7,environment
环球,7,Global
环节,7,tache
现实,7,reality
画画,7,Draw
瞄准,7,aim
硬件,7,hardware
第一次,7,For the first time
美国,7,United States
职业,7,occupation
觉得,7,felt
解决方案,7,solution
走进,7,Into
运动,7,motion
近日,7,recently
进步,7,progressive
适配,7,Adaptation
部分,7,part
采取,7,adopt
防范,7,guard against
阿加,7,Aga
面临,7,facing
首个,7,First
一步,6,one-step
一站式,6,All in one place
专精,6,Specialization
业界,6,Industry
中关村,6,Zhongguancun
中试,6,Pilot test
为主,6,Mainly
主张,6,claim
乐手,6,Musicians
乐队,6,band
也许,6,Maybe
享受,6,enjoy
人声,6,Vocals
众多,6,numerous
优质,6,quality
会址,6,Site
作出,6,devise
作用,6,function
修改,6,revise
充分,6,sufficiency
先导,6,forerunner
全力,6,Full
共有,6,in common
再次,6,again
冲击,6,impact
分享,6,share
创客,6,Maker
利益,6,benefit
加大,6,increase
动态,6,dynamic
动能,6,kinetic energy
千行,6,A thousand lines
协议,6,agreement
参数,6,parameter
变成,6,become
古琴,6,Guqin
各行各业,6,From all walks of life
合规,6,compliance
启蒙,6,enlightenment
品牌,6,brand
地区,6,region
地方,6,place
声韵,6,Rhyme
复制,6,copy
多家,6,More than
多所,6,Multiple
女士,6,lady
完全,6,completely
对外,6,foreign
对此,6,on this
小学,6,elementary school
小时,6,hour
局市,6,Bureau of the city
影视,6,Film
往往,6,frequently
很快,6,soon
微软,6,Microsoft
总部,6,headquarters
恒图,6,Constant Figure
想象,6,imagine
意味着,6,imply
意识,6,conscious
成熟,6,ripe
成立,6,establish
承担,6,Bear
技术创新,6,Technological innovation
投影,6,projection
投资,6,investment
据介绍,6,According to the introduction
推广,6,popularize
攻关,6,Research
时尚,6,vogue
晚会,6,soiree
普及,6,spread
普惠,6,Inclusive
有人,6,someone
机会,6,opportunity
校企,6,School-enterprise
歌声,6,Song
歌舞团,6,Song and Dance Troupe
比较,6,compare
汇聚,6,Convergence
沉浸,6,immerse
演员,6,actor
潜在,6,latent
爱迦,6,Aiga
率先,6,First
现象,6,phenomenon
生动,6,vivid
相声,6,crosstalk
碰撞,6,collide
第一,6,first
第一句,6,First sentence
精神,6,spirit
素材,6,material
经历,6,experienced
绘画,6,painting
维护,6,maintenance
维权,6,Rights
综合,6,synthesis
编剧,6,screenwriter
自然,6,nature
著名,6,famous
表现,6,manifestation
装置,6,device
西南,6,southwest
认知,6,cognition
课程,6,course
调整,6,adjust
走向,6,trend
走红,6,Popular
趋势,6,trend
跨界,6,Cross-border
路径,6,path
运行,6,run
适应,6,adapt
重新,6,anew
量化,6,quantify
防止,6,prevent
隐私,6,privacy
集聚,6,gather
预测,6,forecast
首届,6,First
高端,6,High
GPU,5,GPU
Sora,5,Sora
一年,5,year
一批,5,batch
一次,5,once
一类,5,Category 1
七中,5,Seven
上市,5,Listed
上演,5,perform
不受,5,No
东西,5,stuff
丝竹,5,Silk bamboo
个性,5,personality
中央音乐学院,5,Central Conservatory of Music
中学,5,secondary school
中小企业,5,Small and medium-sized enterprises
中广,5,Zhongguang
主办,5,Host
之前,5,before
乐趣,5,fun
互娱,5,Mutual entertainment
交易,5,trade
享有,5,enjoy
人文,5,humanities
人格,5,personality
仍然,5,remains
代替,5,In lieu of
以下,5,hereinafter
价格,5,Price
任务,5,task
仿真,5,emulation
伦理,5,ethics
体育,5,physical education
供给,5,supply
依托,5,Relying on
俄罗斯,5,Russia
信息化,5,Informatization
借助,5,Use
入选,5,Selected
公众,5,public
关键技术,5,Key technologies
兴起,5,Rise
兴趣,5,interest
最后,5,At last
几年,5,Years
出售,5,sell
分钟,5,minute
判决,5,verdict
剪辑,5,montage
动作,5,action
努力,5,Step up your game
十年,5,decade
发生,5,happen
发起,5,launch
取代,5,replace
受访,5,Interviewed
叙事,5,narrative
司法,5,judicature
各大,5,Major
名城,5,City
听众,5,audience
启动,5,initiate
唐青林,5,Tang Qinglin
商业化,5,commercialization
园区,5,Park
增长,5,increase
复合,5,compound
完整,5,complete
实力,5,strength
寻找,5,look for
导演,5,director
小镇,5,Small town
尤其,5,especially
尽量,5,As much as possible
展区,5,Area
属性,5,attribute
工程师,5,engineer
年度,5,annual
年月日,5,date
年轻,5,young
引领,5,Lead
张家湾,5,Zhangjiawan
张平,5,Zhang ping
强调,5,emphasize
强链,5,Strong chains
律师,5,lawyer
得到,5,get
想法,5,idea
想要,5,want
成长,5,grow
或许,5,maybe
手段,5,means
打开,5,Open it
找到,5,Found it
技术支持,5,Technical support
护栏,5,guardrail
担心,5,Lose sleep over something
担忧,5,worry
拓展,5,expand
指导,5,guide
损失,5,loss
损害赔偿,5,Indemnification
据悉,5,It is reported
掌握,5,master
接近,5,approach
播放,5,Play
改变,5,change
政策措施,5,Policy measures
教室,5,classroom
新华网,5,Xinhua
施行,5,administer
旨在,5,To
时空,5,spacetime
显著,5,Significant
智能化,5,Intelligent
曲风,5,Styles
朱里,5,Juri
机遇,5,Opportunity
森林,5,forest
模拟,5,mock
此前,5,Previously
每个,5,each
民乐,5,Folk music
沈复,5,Shen Fu
涵盖,5,Cover
深刻,5,profound
界面,5,interface
百业,5,All industries
百度,5,Baidu
盛宴,5,feast
直播,5,live broadcast
确保,5,ensure
示范,5,demonstration
禁止,5,forbid
福利,5,welfare
科创,5,Science and technology
究竟,5,result
签订,5,Signed
算力券,5,Hash coupons
类型,5,type
粉丝,5,A fan of someone
精准,5,Precision
系列,5,series
累计,5,Cumulative
纠纷,5,dispute
组建,5,Form
组成,5,compose
经信,5,Scripture
经验,5,experience
编曲,5,Arrangement
网络文学,5,Online literature
美好,5,fine
老师,5,teacher
联动,5,linkage
节目,5,program
营销,5,marketing
董事长,5,Chairman
虚假,5,FALSE
规则,5,rules
角度,5,angle
讲述,5,tell
许可,5,permission
诞生,5,birth
该案,5,The case
误导,5,mislead
赔礼道歉,5,repay
身着,5,Wearing
转换,5,conversion
轻松,5,relaxed
近年来,5,Recently
追求,5,pursue
适用,5,apply
逼真,5,realistic
邀请,5,invite
部门,5,department
采用,5,adopt
采访,5,interview
采购,5,procurement
重大,5,important
金融,5,finance
限制,5,limit
音乐作品,5,Musical compositions
音乐家,5,musician
首演,5,premiere
iNED,4,iNED
Lab,4,Lab
一体化,4,integration
一名,4,A
一审,4,First instance
一家,4,A
一段,4,A
一致性,4,consistency
一项,4,one
万人,4,"10,000 people"
万亿元,4,trillion yuan
不了,4,No
不仅仅,4,Not
专注,4,Focus
世纪,4,century
业内,4,Industry
严帅,4,Yan Shuai
严格,4,strict
中华,4,Chinese
中外,4,Chinese and foreign
举办,4,Held
举措,4,Measures
之南,4,South
之城,4,The city
乐团,4,orchestra
事实上,4,In fact
交互式,4,Interactive
交通,4,traffic
亮相,4,Appearance
人才培养,4,Talent development
以前,4,before
传递,4,deliver
余家,4,More than
作者,4,author
依然,4,still
偏离,4,deviate
做到,4,Do
允许,4,allow
克隆人,4,Clones
全世界,4,worldwide
全省,4,Province
公共数据,4,Public Data
公布,4,unveil
共创,4,Co-creation
共性,4,generality
共生,4,symbiosis
共舞,4,Dancing together
最佳,4,optimum
最初,4,initially
最早,4,earliest
最近,4,Recent
写实,4,Realistic
制定,4,formulate
前期,4,prophase
前沿,4,frontier
剧情,4,plot
力度,4,vigour
力量,4,strength
办公,4,Office
北京师范大学,4,Beijing Normal University
协作,4,collaboration
印发,4,Issued
原本,4,originally
参照,4,Reference
发出,4,emit
发挥,4,exert
口型,4,Mouth
只能,4,Only
各项,4,The
合作伙伴,4,Partners
后来,4,afterward
后续,4,Subsequent
向北,4,northward
呼吁,4,Called
喜爱,4,like
四川省,4,Sichuan Province
回答,4,Reply
在内,4,in
地标,4,landmark
基金会,4,foundation
填写,4,fill out
增加,4,increase
增长率,4,growth rate
多位,4,More than
多元,4,multivariant
多名,4,More than
大卫,4,David
大多,4,mostly
大师,4,guru
大战,4,War
头部,4,head
姓名权,4,Right to name
威胁,4,threat
它会,4,It will
实施,4,implement
实际,4,actual
审理,4,Trial
对接,4,docking
小米,4,millet
屏幕,4,screen
展现出,4,Show
展馆,4,Pavilion
工作室,4,studio
工坊,4,Workshop
工程,4,engineering
乡村,4,rustic
广西,4,Guangxi
底线,4,The bottom line
建圈,4,Build circles
建模,4,Modeling
引进,4,Introduce
归属,4,ascription
形态,4,morphology
彩云,4,Cloud
影响力,4,Influence
影片,4,film
影音,4,Video
很难,4,Hard
意见,4,opinion
所有人,4,All of them
手机,4,cell phone
抓取,4,crawl
报道,4,Reported
指令,4,directives
控制系统,4,Control system
提到,4,mention
搭建,4,build
播报,4,broadcast
改编,4,adapt
放在,4,Placed
整体,4,overall
文旅,4,Cultural tourism
文案,4,copy
新兴,4,emerging
方案,4,scheme
既有,4,existing
明星,4,star
明显,4,Plain as day
明途,4,Bright way
普通,4,ordinary
普通人,4,everyman
智力,4,intellect
曲线,4,curve
有效,4,effective
有着,4,Has
服饰,4,trappings
期间,4,duration
本次,4,This time
权威,4,authority
材料,4,material
村民,4,villager
来源,4,source
标识,4,logotype
框架,4,frame
案涉,4,Involved
梦想,4,dream
欣赏,4,admire
此类,4,Such
民法典,4,Civil Code
水平,4,level
江岭,4,Jiangling
江苏省,4,Jiangsu Province
汽车,4,Car
沐阳,4,Muyang
法律责任,4,legal liability
流行,4,popular
测试,4,Test
滥用,4,abuse
演艺,4,Acting
灵感,4,inspiration
灵活,4,flexible
热情,4,enthusiastic
热潮,4,upsurge
焕发,4,coruscate
片段,4,fragment
版权保护,4,Copyright Protection
特点,4,peculiarity
特质,4,idiosyncrasy
独立,4,independent
现有,4,existing
琵琶,4,pipa
生计,4,livelihood
登场,4,Debut
监管,4,Supervision
短时间,4,For a short period of time
社区,4,community
视角,4,visual angle
离不开,4,Inseparable from
科技产业,4,Technology industry
积累,4,accumulate
符合,4,accord with
算算,4,Do the math
类似,4,similar
紧密,4,tightness
组曲,4,suite
组织,4,organization
继续,4,Go on
维度,4,dimension
编辑,4,edit
缺乏,4,lack
网络科技,4,Network technology
群体,4,colony
聆听,4,Listening
聊天,4,chat
联系,4,contact
肯定,4,Sure
育才,4,Nurture talents
脱离,4,disengage
自由,4,freely
自觉,4,Conscious
致力于,4,To
艺术总监,4,Artistic Director
获悉,4,Learned
虚拟人,4,Virtual humans
行动计划,4,Action Plan
衍生,4,derive from
补助,4,subsidy
要素,4,element
规划,4,planning
规模化,4,Scale
解说,4,explanation
讨论,4,discuss
设置,4,Set up
评论,4,comments
评选,4,Selection
诈骗,4,swindle
说话,4,Speak
质量,4,quality
购买,4,purchase
费用,4,expenses
资本,4,capital
赔偿,4,indemnify
赢得,4,win
走出,4,walk out
赵伟峰,4,Zhao Weifeng
跟风,4,Follow suit
车载,4,Car
转型,4,transformation
软件园,4,Software Park
辐射,4,radiation
迅速,4,swift
迎来,4,usher
近期,4,Recent
这项,4,item
透露,4,reveal
逐渐,4,gradually
通常,4,usually
速度,4,velocity
里面,4,inside
阵容,4,lineup
陆续,4,successively
陶艺,4,Ceramic art
难以,4,Can't
难求,4,Hard to find
震撼,4,shock
面前,4,Front
面对,4,confront
韩国,4,Korea
音乐厅,4,concert hall
音乐界,4,Music
音符,4,musical notes
首批,4,first batch
高性能,4,Performance
鼓励,4,encourage
demo,3,demo
iSpeech,3,iSpeech
OpenAI,3,OpenAI
TikTok,3,TikTok
VR,3,VR
XPT,3,XPT
一体,3,One
一卡,3,One card
一句,3,A sentence
一把,3,A handful
一线,3,Line
一道,3,together
三个,3,Three
三大,3,Big three
上手,3,begin
上海市,3,Shanghai
下午,3,Afternoon
下来,3,Get down
下架,3,Taken off the shelves
不一会儿,3,Soon
不久,3,soon
不再,3,No longer
不到,3,No
不够,3,inadequate
不算,3,Not counted
专属,3,Exclusive
专属性,3,Exclusivity
专门,3,specialized
业内人士,3,Insiders
业务,3,business
东方,3,orient
个性化,3,personalize
中医,3,Chinese medicine
中小学,3,Schools
中药,3,medicinal herb
丰富多彩,3,colorful
丰收,3,bumper harvest
义务,3,obligation
主席,3,chairman
之下,3,under
之于,3,of
之歌,3,The song
尹学渊,3,Yin Xueyuan
乐坛,3,Music
乐曲,3,music
乐理,3,Music theory
乐谱,3,music
乐章,3,movement
事件,3,event
事情,3,thing
二期,3,Phase II
于阳,3,Yu Yang
云计算,3,cloud computing
亚洲,3,Asia
产物,3,product
亮点,3,bright spot
人会,3,People will
人机,3,Human-machine
人身,3,Personal
今天,3,Today
从事,3,In
以假乱真,3,Confuse the real with the fake
伊利亚,3,Elias
余项,3,Remainder
侗族,3,Dong
依法,3,Law
便捷,3,Convenient
保持,3,keep
信息安全,3,information security
信息技术,3,information technology
做出,3,make
做好,3,Do
停止,3,Stop it
催生,3,Spawn
儿童音乐,3,Children's music
先后,3,successively
公共,3,public
公共利益,3,Public interest
公民,3,citizen
共存,3,coexistence
共情,3,Empathy
共振,3,resonance
典型,3,typical
写入,3,write
决策,3,decision-making
准确,3,accurate
几乎,3,almost
出门,3,Out
分为,3,Divided into
刚刚,3,just
创业,3,entrepreneurship
创建,3,create
创排,3,Creation and arrangement
创造力,3,creativity
创造性,3,creativity
删除,3,Delete
剧场,3,theater
加工,3,processing
动力,3,impetus
助手,3,aides
北京市,3,Beijing
十分,3,very
半导体,3,semiconductor
华东,3,East
协会,3,association
单位,3,unit
单曲,3,single
博主,3,Bloggers
博士生,3,Doctoral
危机感,3,Crisis
即兴,3,improvisation
即将,3,Soon
原来,3,Originally
及于,3,and in
及时,3,promptly
双方,3,both sides
发布会,3,Conference
发掘,3,excavation
变为,3,Into
古代,3,ancient times
古典音乐,3,Classical music
各个领域,3,various fields
合伙人,3,copartner
名为,3,Named
名园,3,Famous Garden
名誉权,3,Right to reputation
后期,3,anaphase
后果,3,consequence
听觉,3,hearing
周年,3,anniversary
周期,3,cycle
咖啡,3,coffee
唢呐,3,Suona
唤醒,3,awaken
唯一,3,sole
商业模式,3,business model
商用,3,Commercial
喜欢,3,like
回应,3,Response
回忆,3,recall
因素,3,factor
困难,3,difficulty
固定,3,fixed
国产,3,Domestic
国内外,3,At home and abroad
国家级,3,National
国际化,3,internationalization
国际友人,3,International friends
坦言,3,Admitted
垂直,3,vertical
垃圾桶,3,trash can
培训,3,training
增多,3,increase
声学,3,acoustics
多种,3,multiple
大大,3,greatly
大成,3,Dacheng
大胆,3,boldness
大脑,3,cerebrum
天使,3,angel
奇谭,3,Strange Tan
契合,3,fit
孙玉镜,3,Sun Yujing
孵化,3,hatch
完美,3,Perfect
官方,3,official
定制,3,customize
宝马,3,Bmw
实体,3,entity
室内乐,3,chamber music
家庭,3,Family
富有,3,wealthy
尊重,3,respect
小学校,3,Elementary school
小琴,3,Violin
就业,3,employment
山海,3,Mountains and seas
岗位,3,Post
工作人员,3,staff member
巨头,3,magnate
已达,3,Reached
市民,3,townspeople
师生,3,Teachers
年底,3,End
底层,3,underlying
底座,3,base
座谈会,3,colloquium
建成,3,Built
开幕,3,Opening
开庭,3,Trial
开辟,3,inaugurate
引入,3,induct
引起,3,arouse
弹唱,3,Play and sing
当代,3,Contemporary
彰显,3,Shows
影城,3,Studios
必然,3,inevitable
必要,3,necessary
态度,3,attitude
思想,3,thought
性能,3,performance
总能,3,Always
想象力,3,imagination
意义,3,significance
感应,3,induction
感应器,3,inductor
愿意,3,willing
打印,3,print
执行,3,execute
扩大,3,enlarge
扩容,3,Expansion
扩展,3,extend
扫地,3,Sweeping
技艺,3,Skills
抄袭,3,plagiarize
投运,3,Put into operation
抢占,3,Seize
担任,3,As
拉车,3,Cart
拒绝,3,refuse
拜尔,3,Bayer
指出,3,pointed
捕捉,3,catch
掀起,3,lift
接下来,3,Next
推理,3,illation
提取,3,extract
摇滚,3,Rock
擅自,3,Without authorization
擅长,3,excel
支付,3,pay
敏感,3,susceptible
教育部,3,ministry of education
数实,3,Count
整合,3,conformity
文化产业,3,Cultural industries
新作,3,New
新型,3,new
新奇,3,novelty
新歌,3,Song
无论是,3,Either way
无障碍,3,Accessibility
日电,3,Daily electricity
日益,3,increasingly
明代,3,Ming dynasty
昨天,3,Yesterday
是因为,3,It's because
普惠算力,3,Inclusive computing power
普遍,3,universal
曝光,3,exposure
更大,3,Larger
更是,3,Even more
月底,3,Month
有力,3,forceful
有点,3,somewhat
